source,target_x,target_y,gaze_x,gaze_y,error
balloon_pop,0.2,0.2,0.09012962712221756,0.3167873146007911,0.160346
balloon_pop,0.2,0.2,0.09512206790317289,0.32217875843686716,0.161019
balloon_pop,0.2,0.2,0.10033143243186948,0.33253921367840944,0.165833
balloon_pop,0.2,0.2,0.10033143243186948,0.34569880126210534,0.176528
balloon_pop,0.2,0.2,0.10033143243186948,0.35594553691890235,0.185075
balloon_pop,0.2,0.2,0.10033143243186948,0.3631072867784333,0.191149
balloon_pop,0.2,0.2,0.10664308769528016,0.36752108145823215,0.191778
balloon_pop,0.2,0.2,0.11467112873633581,0.37061510163544076,0.190763
balloon_pop,0.2,0.2,0.1241340419437558,0.3752293213654697,0.190948
balloon_pop,0.2,0.2,0.13039332170089396,0.38183303541248925,0.194701
balloon_pop,0.2,0.2,0.13353312423992392,0.39093365633679045,0.202172
balloon_pop,0.2,0.2,0.13704660347540998,0.4002913484476125,0.209952
balloon_pop,0.2,0.2,0.13704660347540998,0.41121304154909166,0.220395
balloon_pop,0.2,0.2,0.1446532329276956,0.4186561457232406,0.225552
balloon_pop,0.2,0.2,0.1517486321678706,0.4238815359724907,0.229022
balloon_pop,0.2,0.2,0.1592789011718051,0.4238815359724907,0.227555
balloon_pop,0.2,0.2,0.16556287524822055,0.42690180191834926,0.2295
balloon_pop,0.2,0.2,0.17196654129380107,0.42690180191834926,0.228627
balloon_pop,0.2,0.2,0.17802548914021082,0.4309774085598965,0.23202
balloon_pop,0.2,0.2,0.18431057391324734,0.4339886302202084,0.234514
balloon_pop,0.2,0.2,0.19211561081292056,0.4339886302202084,0.234121
balloon_pop,0.2,0.2,0.1982849888951309,0.4339886302202084,0.233995
balloon_pop,0.2,0.2,0.20363909763612237,0.4339886302202084,0.234017
balloon_pop,0.2,0.2,0.20363909763612237,0.4305961611667321,0.230625
balloon_pop,0.2,0.2,0.20363909763612237,0.42603641649861,0.226066
balloon_pop,0.2,0.2,0.20363909763612237,0.42285671623013227,0.222886
balloon_pop,0.2,0.2,0.20363909763612237,0.41963735555073944,0.219668
balloon_pop,0.2,0.2,0.20363909763612237,0.4164780862377313,0.216509
balloon_pop,0.2,0.2,0.19778866793971311,0.4164780862377313,0.216489
balloon_pop,0.2,0.2,0.19224017093669732,0.4164780862377313,0.216617
balloon_pop,0.2,0.2,0.18628875521427068,0.4127820096177057,0.213223
balloon_pop,0.2,0.2,0.18233865862355825,0.4090352311556036,0.20978
balloon_pop,0.2,0.2,0.17917878727703865,0.40564546719063616,0.206697
balloon_pop,0.2,0.2,0.18247585305485883,0.40564546719063616,0.206391
balloon_pop,0.2,0.2,0.1854980817935416,0.40564546719063616,0.206156
balloon_pop,0.2,0.2,0.18888344853243594,0.40564546719063616,0.205946
balloon_pop,0.2,0.2,0.19362161765517058,0.4101312385281527,0.210228
balloon_pop,0.2,0.2,0.200855087046725,0.41604561128847617,0.216047
balloon_pop,0.2,0.2,0.21054169588103455,0.4234890184244118,0.223737
balloon_pop,0.2,0.2,0.2230223122684879,0.42694362364407157,0.228108
balloon_pop,0.2,0.2,0.23223184690482723,0.4231817745331184,0.225497
balloon_pop,0.2,0.2,0.2360613648974371,0.4231817745331184,0.226076
balloon_pop,0.2,0.2,0.2360613648974371,0.4175185793790712,0.220488
balloon_pop,0.2,0.2,0.23238232258747193,0.4175185793790712,0.219916
balloon_pop,0.2,0.2,0.22859252068506594,0.4175185793790712,0.21939
balloon_pop,0.2,0.2,0.2255014247999279,0.4175185793790712,0.219008
balloon_pop,0.2,0.2,0.2221820047753792,0.4175185793790712,0.218647
balloon_pop,0.2,0.2,0.2184396906542172,0.41438730224494424,0.215179
balloon_pop,0.2,0.2,0.2184396906542172,0.41012265183889784,0.21093
balloon_pop,0.2,0.2,0.22431508622457702,0.4183046383169705,0.219655
balloon_pop,0.2,0.2,0.21474030923208615,0.42422473493862534,0.224709
balloon_pop,0.2,0.2,0.21474030923208615,0.41555760994832114,0.216061
balloon_pop,0.2,0.2,0.22080442370998557,0.38343576591659717,0.184612
balloon_pop,0.2,0.2,0.2043652918154539,0.3521828785648333,0.152245
balloon_pop,0.2,0.2,0.1936945433899177,0.3350294196769654,0.135177
balloon_pop,0.2,0.2,0.18469115645382952,0.3350294196769654,0.135894
balloon_pop,0.2,0.2,0.18153958747120785,0.34087419946320086,0.142079
balloon_pop,0.2,0.2,0.18153958747120785,0.34933361758598513,0.15047
balloon_pop,0.2,0.2,0.18153958747120785,0.35874662790615314,0.159816
balloon_pop,0.2,0.2,0.18463324116162436,0.3643491653166503,0.165066
balloon_pop,0.2,0.2,0.18463324116162436,0.37087994377119515,0.171569
balloon_pop,0.2,0.2,0.18463324116162436,0.37554163536548846,0.176213
balloon_pop,0.2,0.2,0.18463324116162436,0.3795662300789243,0.180223
balloon_pop,0.2,0.2,0.18463324116162436,0.38278965438335044,0.183434
balloon_pop,0.2,0.2,0.18833503525225975,0.38278965438335044,0.183161
balloon_pop,0.2,0.2,0.19134646760729743,0.38608283602971366,0.186284
balloon_pop,0.2,0.2,0.19134646760729743,0.3892039718547352,0.189402
balloon_pop,0.2,0.2,0.19472468506628593,0.3892039718547352,0.189277
balloon_pop,0.2,0.2,0.19472468506628593,0.38536538612022236,0.18544
balloon_pop,0.2,0.2,0.19010230964939206,0.39233920879408446,0.192594
balloon_pop,0.2,0.2,0.18450873247779986,0.4014392878822387,0.202034
balloon_pop,0.2,0.2,0.18086277392614242,0.4091933030871746,0.210067
balloon_pop,0.2,0.2,0.18086277392614242,0.41551014612694326,0.216358
balloon_pop,0.2,0.2,0.18086277392614242,0.4203173395431835,0.221147
balloon_pop,0.2,0.2,0.18086277392614242,0.42431490040851394,0.22513
balloon_pop,0.2,0.2,0.18086277392614242,0.4279893123801936,0.228791
balloon_pop,0.2,0.2,0.18086277392614242,0.4310896311876462,0.231881
balloon_pop,0.2,0.2,0.18430426919896303,0.4310896311876462,0.231622
balloon_pop,0.2,0.2,0.18918525993718982,0.4310896311876462,0.231343
